id,difficulty,terrain,date_hidden,favorites
GCAMCGD,2,2.5,3/2/2024,0
GCAMCG5,1.5,2.5,3/2/2024,0
GCAMCFK,1.5,2.5,3/2/2024,0
GCAMB1Y,1.5,2,3/2/2024,0
GCAMB1J,2,2.5,3/2/2024,1
GCAMB1B,1.5,1.5,3/2/2024,0
GCAMB17,1.5,2,3/2/2024,1
GCAMB11,1.5,1.5,3/2/2024,0
GCAMB0Y,2.5,1.5,3/2/2024,4
GCAMB0E,2.5,2,3/2/2024,0
GCAMAXK,1.5,1.5,3/2/2024,0
GCAMAXD,1.5,1.5,3/2/2024,0
GCAMAX6,1.5,1.5,3/2/2024,0
GCAMAWZ,1.5,1.5,3/2/2024,0
GCAMAK4,2,1.5,3/2/2024,2
GCAMAJ6,2,1.5,3/2/2024,2
GCAMAH9,2,1,3/2/2024,3
GCAMAEF,1.5,1.5,3/2/2024,0
GCAMA5V,1.5,1.5,3/2/2024,0
GCAMA5K,1.5,1.5,3/2/2024,2
GCAM9NZ,3.5,4,3/1/2024,2
GCAM9N1,1.5,1.5,3/1/2024,0
GCAM9ME,1.5,1.5,3/1/2024,0
GCAM9H0,3,2,3/1/2024,6
GCAM9FK,2,2,3/1/2024,0
GCAM9EG,2.5,2.5,3/1/2024,1
GCAM9AP,1.5,2,3/1/2024,3
GCAM983,2.5,1.5,3/1/2024,1
GCAM94N,1.5,1.5,3/1/2024,1
GCAM7JR,4,1.5,3/1/2024,5
GCAKRXX,3.5,1.5,3/1/2024,1
GCAKM8H,2.5,1.5,3/1/2024,0
GCAJ0TP,1,1,2/29/2024,0
GCAKNCY,1,1,2/29/2024,0
GCAKDD1,1,2,2/29/2024,0
GCAKBWH,1,1,2/29/2024,0
GCAJEM3,1,1,2/29/2024,0
GCAJXWV,1,1.5,2/29/2024,0
GCAKE2N,1,1.5,2/29/2024,0
GCAJ280,1,1,2/29/2024,0
GCAKAZG,1,1,2/29/2024,0
GCAK9TJ,1,1,2/29/2024,0
GCAKDDB,1,1,2/29/2024,0
GCAKAZ7,1,1,2/29/2024,0
GCAK33M,1,1,2/29/2024,0
GCAMAD2,2,1.5,2/29/2024,3
GCAM8N1,2.5,1.5,2/29/2024,3
GCAM8M2,1,1,2/29/2024,0
GCAM8KZ,2,2,2/29/2024,0
GCAM8KX,2,2,2/29/2024,0
GCAM8KW,2,2,2/29/2024,0
GCAM8KV,2,2,2/29/2024,0
GCAM8KF,2,2,2/29/2024,0
GCAM8KE,2,2,2/29/2024,0
GCAM8K8,2,2,2/29/2024,0
GCAM8K4,2.5,1.5,2/29/2024,1
GCAM8K1,2,2,2/29/2024,0
GCAM8H1,1.5,1.5,2/29/2024,0
GCAM8FH,2,2.5,2/29/2024,4
GCAM8F9,2,1.5,2/29/2024,2
GCAM8EQ,2,1.5,2/29/2024,6
GCAM8CG,1.5,1.5,2/29/2024,1
GCAM883,2,1.5,2/29/2024,4
GCAM85Q,1.5,1.5,2/29/2024,5
GCAM80P,1.5,2,2/29/2024,1
GCAM7JX,1.5,1.5,2/29/2024,0
GCAM7H7,1.5,1.5,2/29/2024,0
GCAM7GA,1.5,2,2/29/2024,0
GCAM79P,2,1.5,2/29/2024,0
GCAM77M,1.5,1.5,2/29/2024,1
GCAM703,2.5,2,2/29/2024,2
GCAM6CT,2,1.5,2/29/2024,0
GCAM5YM,2,1.5,2/29/2024,0
GCAM572,1.5,2,2/29/2024,3
GCAM570,1.5,1.5,2/29/2024,0
GCAM52B,1.5,1.5,2/29/2024,2
GCAM527,2.5,1.5,2/29/2024,1
GCAM51V,1.5,1.5,2/29/2024,1
GCAM51N,1.5,1.5,2/29/2024,0
GCAM51E,2.5,1.5,2/29/2024,2
GCAM519,2.5,1.5,2/29/2024,1
GCAM516,1.5,1.5,2/29/2024,1
GCAM4ZW,1.5,1.5,2/29/2024,1
GCAM436,2,1.5,2/29/2024,0
GCAM42X,2.5,2,2/29/2024,1
GCAM3TD,1.5,1.5,2/29/2024,0
GCAM3R5,2,1.5,2/29/2024,0
GCAM1E3,3.5,2,2/29/2024,4
GCAKTG5,1.5,1.5,2/29/2024,1
GCAKN6C,1,1.5,2/29/2024,0
GCAKM39,2,1,2/29/2024,0
GCAKJVP,3.5,2,2/29/2024,1
GCAKJ71,2,1.5,2/29/2024,2
GCAKJ6Z,2,1.5,2/29/2024,7
GCAJHCQ,1,1,2/29/2024,5
GCAJH0C,3.5,1.5,2/29/2024,5
GCAJGG2,1.5,1.5,2/29/2024,4
GCAJFM8,1.5,1,2/29/2024,6
GCAJ9B3,1.5,1,2/29/2024,4
GCAG98H,1.5,1.5,2/29/2024,5
GCAFPV9,2,2,2/29/2024,1
GCAK0QB,1,1,2/28/2024,0
GCAJ5YZ,1,1,2/28/2024,0
GCAM7KG,2,2,2/28/2024,1
GCAM7HM,1.5,2.5,2/28/2024,2
GCAM7H1,2,2,2/28/2024,0
GCAM7GW,2,2,2/28/2024,0
GCAM7GV,2,1.5,2/28/2024,1
GCAM7GM,2,1.5,2/28/2024,3
GCAM7GH,1.5,1.5,2/28/2024,2
GCAM7DZ,1.5,1.5,2/28/2024,0
GCAM7DQ,1.5,1.5,2/28/2024,0
GCAM7DB,1.5,1.5,2/28/2024,0
GCAM7AX,2.5,1.5,2/28/2024,2
GCAM7AE,2.5,2,2/28/2024,2
GCAM78Z,1.5,1.5,2/28/2024,0
GCAM71C,2,1.5,2/28/2024,3
GCAM6CY,1,1,2/28/2024,0
GCAM5WD,1.5,1.5,2/28/2024,0
GCAM5P2,2,1.5,2/28/2024,0
GCAM5NA,1.5,1.5,2/28/2024,0
GCAKZ64,2.5,2.5,2/28/2024,1
GCAMCKW,2.5,1.5,2/27/2024,0
GCAM8FB,2,2,2/27/2024,3
GCAM6F8,2,2,2/27/2024,0
GCAM6EV,1,1,2/27/2024,3
GCAM6E8,2.5,1.5,2/27/2024,0
GCAM6CV,3,1.5,2/27/2024,1
GCAM6BZ,2.5,1.5,2/27/2024,2
GCAM6BH,1.5,1.5,2/27/2024,0
GCAM69W,2.5,1.5,2/27/2024,1
GCAM5NW,2.5,1.5,2/27/2024,1
GCAM5N2,1.5,1.5,2/27/2024,0
GCAM4YJ,2,2,2/27/2024,0
GCAM260,1.5,2,2/27/2024,2
GCAM591,2,2,2/26/2024,1
GCAM58D,1.5,1.5,2/26/2024,1
GCAM56P,2,1.5,2/26/2024,0
GCAM55H,1.5,1.5,2/26/2024,1
GCAM555,2,1.5,2/26/2024,1
GCAM53P,2,1.5,2/26/2024,2
GCAM538,2,2,2/26/2024,5
GCAM50A,4,1.5,2/26/2024,4
GCAM4ZG,2,2,2/26/2024,1
GCAM4ZC,2,2,2/26/2024,0
GCAM4Z4,2,2,2/26/2024,0
GCAM4YZ,2,2,2/26/2024,1
GCAM4YP,2,2,2/26/2024,0
GCAM4QN,1.5,2,2/26/2024,0
GCAM3VJ,2.5,1.5,2/25/2024,0
GCAM3V8,3,1.5,2/25/2024,1
GCAM3TY,2,2.5,2/25/2024,1
GCAM3TM,1.5,1.5,2/25/2024,0
GCAM3TJ,1.5,1.5,2/25/2024,0
GCAM3TA,2.5,1.5,2/25/2024,1
GCAM3T6,2,2,2/25/2024,0
GCAM3T3,1.5,1.5,2/25/2024,0
GCAM3RK,2,3,2/25/2024,1
GCAM3QT,2,2,2/25/2024,0
GCAM3QJ,2,1.5,2/25/2024,0
GCAM3Q8,2.5,1.5,2/25/2024,0
GCAM3Q1,2,2.5,2/25/2024,0
GCAM3PY,1.5,2,2/25/2024,5
GCAM3P2,2,2.5,2/25/2024,0
GCAM3KJ,2,2,2/25/2024,0
GCAM3JG,3,2,2/25/2024,0
GCAM3HB,1,3,2/25/2024,1
GCAM3H1,2.5,1.5,2/25/2024,0
GCAM3EX,4,1,2/25/2024,2
GCAM3ED,2.5,1.5,2/25/2024,0
GCAM3DT,2,2,2/25/2024,0
GCAM3CM,2.5,2,2/25/2024,0
GCAM39E,2.5,1.5,2/25/2024,2
